applicant_id,safra,region,age,income,employment,cpf_valido,vl_negativacao,vl_vencido_scr,vl_protestos,true_pd,actual_default,legacy_score,score_2,score_3,score_4,score_5,approved,score_decile,take_up_rate,hired,sample
1,2024-02,Sudeste,57,1701,Assalariado,True,2664,3912,0,0.679128156773944,1,342,126,178,162,184,0,1,0.8899999999999999,0,DEV
2,2025-02,Nordeste,62,7337,Empresário,True,0,0,0,0.3042384754543129,0,189,168,172,115,183,0,1,0.8899999999999999,0,OOT
3,2024-12,Nordeste,42,2177,Autônomo,True,360,0,0,0.017480730130603597,0,940,917,923,936,844,1,8,0.47,0,DEV
4,2024-08,Sudeste,20,1756,Assalariado,True,0,0,246,0.06851770789855159,0,833,854,797,849,856,1,8,0.47,1,DEV
5,2024-08,Sudeste,62,696,Autônomo,True,0,0,219,0.9426421843236702,1,101,105,111,65,95,0,0,0.95,0,DEV
6,2025-04,Sudeste,23,1412,Autônomo,True,0,0,0,0.8064300099997469,1,659,479,559,667,531,0,5,0.6499999999999999,0,OOT
7,2024-02,Nordeste,42,3350,Assalariado,True,1991,0,0,0.9316613303585188,1,83,51,79,118,83,0,0,0.95,0,DEV
8,2025-01,Nordeste,34,3342,Assalariado,True,0,0,0,0.7559468497497839,1,330,220,103,124,274,0,2,0.83,0,OOT
9,2024-04,Nordeste,31,1651,Assalariado,True,0,0,0,0.0005152514304259886,0,911,872,931,952,901,1,9,0.4099999999999999,0,DEV
10,2024-02,Sudeste,48,1707,Assalariado,True,1955,0,0,0.6626197653895403,1,179,164,150,110,190,0,2,0.83,0,DEV
11,2024-10,Sudeste,41,7449,Desempregado,True,0,0,0,0.3025295401501337,0,245,238,418,356,289,0,2,0.83,0,DEV
12,2025-06,Sul,45,12305,Empresário,True,256,0,0,0.011385094196020958,0,783,817,940,778,889,0,8,0.47,0,OOT
13,2025-02,Sudeste,26,4865,Autônomo,True,1202,2844,0,0.07849505353085122,0,797,812,767,867,777,1,7,0.53,1,OOT
14,2025-02,Nordeste,35,6220,Assalariado,True,0,0,0,0.005650899168194241,0,877,638,912,844,860,1,8,0.47,0,OOT
15,2025-01,Sudeste,27,7064,Assalariado,True,0,966,433,0.8165274896411403,0,343,161,261,298,168,0,1,0.8899999999999999,0,OOT
16,2025-03,Sudeste,35,9216,Assalariado,True,1196,0,0,0.8606034112164279,1,63,126,86,71,51,0,0,0.95,0,OOT
17,2024-10,Sul,36,2036,Assalariado,True,0,0,0,0.07187506607471353,0,561,782,715,606,621,0,6,0.59,0,DEV
18,2024-03,Sul,63,1440,Autônomo,True,0,0,138,0.0018114289833164791,0,800,876,779,856,847,1,8,0.47,0,DEV
19,2025-04,Sul,34,7332,Assalariado,True,0,0,0,0.041602134183943734,0,522,508,516,342,553,0,5,0.6499999999999999,0,OOT
20,2024-09,Sudeste,16,1368,Assalariado,True,0,0,0,0.0028372439152208294,0,856,766,672,783,723,0,7,0.53,0,DEV
21,2024-10,Centro-Oeste,57,1316,Assalariado,True,0,0,0,0.9939412787518457,1,145,164,97,194,87,0,0,0.95,0,DEV
22,2024-07,Centro-Oeste,44,1334,Empresário,True,0,540,0,0.9084318025793708,1,310,205,198,289,300,0,3,0.77,0,DEV
23,2024-04,Centro-Oeste,36,2255,Assalariado,True,0,3568,0,0.9574505596690372,1,155,82,191,186,147,0,1,0.8899999999999999,0,DEV
24,2025-05,Sul,31,742,Assalariado,True,0,0,0,0.0014487781770551186,0,974,943,984,958,975,1,9,0.4099999999999999,1,OOT
25,2025-03,Sul,24,1032,Assalariado,True,0,0,0,0.8708175198586157,1,800,418,404,491,414,1,4,0.71,1,OOT
26,2024-12,Sul,65,1680,Assalariado,True,215,0,0,0.4589110096826378,0,322,288,265,200,308,0,3,0.77,0,DEV
27,2024-08,Sudeste,38,1190,Assalariado,True,0,0,0,0.0631266776302261,0,944,827,872,862,815,1,8,0.47,0,DEV
28,2025-03,Sudeste,16,4616,Autônomo,True,0,0,0,0.4642488208419651,1,131,98,39,51,112,0,1,0.8899999999999999,0,OOT
29,2024-10,Sul,42,2450,Assalariado,True,0,0,0,8.146785850531253e-05,0,985,981,983,988,973,1,9,0.4099999999999999,0,DEV
30,2024-08,Sudeste,54,3450,Assalariado,True,650,0,0,0.2812907886891715,1,328,427,546,541,600,0,5,0.6499999999999999,0,DEV
31,2024-09,Sudeste,40,3230,Desempregado,True,0,0,0,0.08589835587401966,0,491,663,646,477,590,0,5,0.6499999999999999,0,DEV
32,2024-05,Centro-Oeste,25,2155,Autônomo,True,0,0,0,0.012632810542196726,0,731,801,783,721,742,0,7,0.53,0,DEV
33,2024-02,Sudeste,24,4415,Empresário,True,395,0,0,0.03771351499735525,0,813,795,788,821,794,1,7,0.53,0,DEV
34,2024-10,Sul,25,3201,Assalariado,True,0,0,0,0.016882226916080864,0,759,801,727,714,698,0,6,0.59,0,DEV
35,2025-04,Sul,59,2016,Empresário,True,0,0,0,0.02680139770015035,0,882,839,715,762,855,1,8,0.47,0,OOT
36,2024-02,Sudeste,36,888,Autônomo,True,1871,0,519,0.9800537150248212,1,6,17,61,21,13,0,0,0.95,0,DEV
37,2025-04,Centro-Oeste,16,3335,Assalariado,True,0,0,0,0.09819644470730554,0,511,482,334,404,621,0,6,0.59,0,OOT
38,2025-03,Sudeste,43,1145,Assalariado,True,0,0,137,9.997531784902454e-05,0,968,951,986,986,983,1,9,0.4099999999999999,0,OOT
39,2024-05,Centro-Oeste,39,3066,Assalariado,True,0,0,0,0.016117809038158955,0,647,748,671,755,753,0,7,0.53,0,DEV
40,2024-12,Nordeste,31,2558,Autônomo,True,0,0,0,0.08266511961345926,0,413,349,380,423,402,0,4,0.71,0,DEV
41,2024-03,Sudeste,23,1078,Assalariado,True,0,0,0,0.1996258846873862,0,585,448,660,338,596,0,5,0.6499999999999999,0,DEV
42,2025-02,Sudeste,23,2849,Autônomo,True,235,0,0,0.9938032405277339,1,92,88,236,126,172,0,1,0.8899999999999999,0,OOT
43,2025-01,Sudeste,53,2737,Autônomo,True,0,0,0,0.00488781946671909,0,923,914,884,828,893,1,8,0.47,0,OOT
44,2024-07,Sudeste,41,2743,Autônomo,True,0,0,519,0.03000130981618225,0,471,715,599,569,639,0,6,0.59,0,DEV
45,2024-02,Sudeste,44,2665,Assalariado,True,495,3611,0,0.9814466330133829,1,147,264,143,224,140,0,1,0.8899999999999999,0,DEV
46,2025-06,Norte,41,1650,Empresário,True,0,0,0,0.26930398632596153,0,509,307,351,435,317,0,3,0.77,0,OOT
